OBJECTID,SITE_NO,geo_point_2d
49315,1452,"-37.889399842404494, 145.04217591494242"
49386,6220,"-36.710866786310056, 144.315016162701"
49416,1578,"-38.07718686138464, 145.29681784975938"
49418,3159,"-38.0806048614052, 145.29613084966954"
49422,1719,"-37.75750386312958, 145.34968987530326"
49425,2047,"-37.599986830554975, 144.90000597046998"
49499,1367,"-37.76636884463618, 145.08124092150376"
49507,3533,"-37.73089783541271, 144.94974094761443"
49529,1114,"-38.07046585318164, 145.18122887044206"
49676,40171,"-37.876855844782085, 145.0771059097675"
49681,40177,"-37.88212684533856, 145.08896390753762"
49722,3972,"-37.823341836586714, 144.96079093579505"
49742,4353,"-37.85321084205259, 145.04214591889365"
49751,1322,"-37.82402682140436, 144.7375109742111"
49757,5315,"-37.81790582648818, 144.80921196252925"
49769,4783,"-37.73994383865316, 144.99942293809696"
49771,1320,"-37.61200984029357, 145.03072294652748"
49774,5186,"-38.33930579569812, 144.31156299472232"
49784,6070,"-36.40697485759073, 145.39367701582265"
49795,1311,"-37.65208883973952, 145.02947494293755"
49820,1542,"-37.87674882008257, 144.71307997315336"
49843,5360,"-38.240196798226954, 144.3527899977491"
45048,3171,"-38.10928186022743, 145.28349284850893"
45050,3486,"-37.81693783104002, 144.8826849502153"
45063,965,"-38.02091085713973, 145.23914786581776"
45091,2486,"-37.88742684476895, 145.07869590811933"
45097,5268,"-37.85051881903716, 144.70635397688503"
45117,304,"-38.03164685516604, 145.21195386917438"
45123,2672,"-37.74547182526291, 144.79982597283"
45182,6828,"-38.36944268260323, 142.46852532110424"
45313,5089,"-38.152924799244666, 144.3723520039236"
45321,5058,"-38.16756579767419, 144.3506500062273"
45326,4986,"-37.68182784321369, 145.06913193263506"
45331,5061,"-38.17537479736825, 144.34237900710454"
45337,5105,"-38.339285749541524, 143.58166612457595"
45339,1261,"-38.14163585538851, 145.21164585776683"
45345,2741,"-37.72334382574367, 144.80788897297506"
45366,2448,"-37.84601183734826, 144.97672593124815"
45383,3435,"-37.81465183211909, 144.8997769477422"
45389,2342,"-38.00557484610792, 145.08634289371824"
45402,1076,"-37.82218683571816, 144.95085093733084"
45413,6810,"-38.38134166863725, 142.22931536307453"
45415,1233,"-37.72549982255009, 144.76364698104126"
45422,2643,"-37.78465882742524, 144.8303499624733"
45460,5195,"-38.145489797414484, 144.35586300767133"
45477,4182,"-37.70411984489358, 145.09862092549778"
45490,5212,"-38.19018680538441, 144.4688639826983"
45556,2498,"-37.805341830709345, 144.88019695143663"
45564,6098,"-36.381930858377714, 145.40582401666524"
45573,5915,"-37.564875761919765, 143.86341815377554"
45577,5951,"-37.56589076211103, 143.85402515506905"
45585,4841,"-37.85404283726516, 144.97062793098314"
45599,4592,"-37.817356836406816, 144.95618293749928"
45664,6082,"-36.3810738579308, 145.39931401723223"
45669,6088,"-36.385177857313195, 145.39846801777782"
45678,5199,"-38.33908279632629, 144.3090429957421"
45686,1510,"-37.602760845412384, 145.11359793383141"
45698,4414,"-37.79413183643934, 144.96807593749148"
45702,7047,"-37.837675834761974, 144.93628893818305"
45704,6680,"-38.47719391000518, 145.9466446894998"
45708,6693,"-38.24973995251634, 146.55117960979248"
45721,5011,"-38.09877679708591, 144.35502601219886"
45740,6445,"-34.18957263773069, 142.15743373886463"
45746,502,"-38.051367864367755, 145.33999684512506"
45768,6825,"-38.35984163318029, 141.6054294776013"
45785,4547,"-37.83347683806608, 144.97748693220413"
45787,4549,"-37.82161583689408, 144.9737189339928"
45813,307,"-38.21858084559271, 145.0589068751439"
45817,2884,"-37.73008283140595, 144.89003395861474"
45819,4436,"-37.80905983428392, 144.93204694280593"
