OBJECTID,SITE_NO,geo_point_2d
47515,4053,"-37.79378584455439, 145.07726991868708"
47523,318,"-37.78321284698276, 145.12408491203362"
47547,3424,"-37.86020483793534, 144.98249492817928"
47549,3426,"-37.86715583850192, 144.9812309273402"
47555,3065,"-37.748163840608015, 145.02974593170194"
47616,775,"-37.847898855124534, 145.22875488707857"
47620,707,"-37.76944585479026, 145.23038589528102"
47626,3785,"-37.76154883699541, 144.9693269410408"
47676,4821,"-37.81142883974932, 145.00977992827217"
47689,4715,"-37.89913884843752, 145.1244828993618"
47720,3590,"-37.75592683344209, 144.92610394964416"
47837,4832,"-37.85797183827023, 144.98039992841282"
47874,3363,"-37.75890884272209, 145.06203392574415"
47896,4418,"-37.79332283659242, 144.97122593706018"
47978,4146,"-37.79019783830218, 144.9947009342085"
47988,4669,"-37.769332838997194, 144.9990249357885"
48054,867,"-37.810624855116735, 145.2306628900208"
48108,3027,"-37.918873838483044, 144.9879909206308"
48119,2150,"-37.72744683607969, 144.96368394624162"
48148,4712,"-37.8893888465591, 145.10766090367306"
48157,3338,"-37.742462844320144, 145.0807809245536"
48169,6137,"-36.37756285937292, 145.41967701408112"
48204,3143,"-37.975791848247965, 145.12256089116113"
48205,3144,"-37.93012684895336, 145.13186089466421"
48208,4376,"-37.80794383375639, 144.92104794404798"
48250,6443,"-34.18665063827552, 142.16102473807183"
48254,4675,"-37.75529283849158, 144.99427893763584"
48259,4680,"-37.774773838477735, 144.9979079345486"
48279,4627,"-37.96875484343387, 145.0550649034835"
48292,5054,"-38.15135279782066, 144.35885800644485"
48339,3280,"-37.89700084725164, 145.10615390286637"
48445,2499,"-37.794069833245075, 144.91498094758882"
48470,137,"-37.78274385809718, 145.28417288479713"
48507,5138,"-38.141213794043715, 144.29454001908903"
48509,6016,"-36.55561189922451, 145.96737790508973"
48518,1205,"-37.730359821228035, 144.749627983099"
48537,3437,"-37.79027083241799, 144.90080594979432"
48555,1120,"-38.003149854595485, 145.20793087269706"
48572,2410,"-37.87913283751853, 144.9773909272227"
48627,3093,"-37.93211683914169, 144.99331491802965"
48671,3243,"-37.718107838949976, 145.00740493921973"
48679,3189,"-37.928033847608255, 145.1149858982053"
48719,1029,"-37.800888837119146, 144.96841993734373"
48742,1166,"-37.78223083289, 144.9163219485882"
48755,3378,"-37.795965838244626, 144.99362093350115"
48784,5124,"-38.757900756871955, 143.67008106649362"
48789,1093,"-37.91730385004343, 145.1493398924666"
48813,40124,"-37.708165830278155, 144.88560496152556"
48814,40125,"-37.71206783001891, 144.87960396173466"
48824,3410,"-37.81829483680951, 144.96063893604207"
48853,2895,"-37.73476883173716, 144.904232955897"
48909,5293,"-37.84087582309457, 144.76415096851983"
48915,2851,"-37.72951683119266, 144.89044195848103"
48930,40067,"-37.70096883088876, 144.89422296049412"
48996,40023,"-37.758786826586174, 144.82190596684288"
49006,40041,"-37.71206682993393, 144.8795959626989"
49069,2814,"-37.64974483854021, 145.00563494721703"
49072,2854,"-37.65564282972603, 144.88213496767136"
49101,1563,"-37.81306683597971, 144.9556489378193"
49106,3657,"-37.81786184008412, 145.00858092794022"
49110,1240,"-38.01099685308793, 145.18212087696915"
49128,3641,"-37.67887483293419, 144.91834295930528"
49130,3444,"-37.784773836678475, 144.97267293779512"
49138,3182,"-38.035776864423774, 145.3429388458532"
49162,3257,"-37.595117818544324, 144.71403900359752"
49181,1327,"-37.62495683784957, 145.00486394965753"
49211,40205,"-37.88897084730203, 145.11438290236546"
49218,40212,"-37.89299384832092, 145.1334708983096"
49231,40227,"-37.90712585082132, 145.15808889236305"
49253,40250,"-37.93482085320564, 145.19240988303807"
49263,40262,"-37.94395685415931, 145.2034748801185"
49308,1404,"-37.75916082070636, 144.739559981733"
49317,1447,"-37.78294583516548, 144.93941194416888"
49327,1489,"-37.79695383817317, 144.9934549337414"
49457,2963,"-37.85241284282494, 145.05431291672323"
49555,1641,"-37.825317828055475, 144.83601795711783"
49648,1568,"-37.62913583225076, 144.9127999653907"
49649,6801,"-38.36384768379852, 142.49615031667605"
49718,5145,"-37.88000582020779, 144.71093497318168"
49760,2574,"-37.76328682637062, 144.8200059674816"
49777,1342,"-37.97532884228341, 145.0351259060708"
49836,5392,"-38.151773797978635, 144.36434700482883"
49846,2220,"-37.818640854617236, 145.22049389147762"
49871,2952,"-37.85839984294571, 145.05863391502663"
49891,2996,"-37.675529828082425, 144.8521699707484"
47493,131,"-37.8146248547614, 145.23103788963292"
47528,324,"-37.787547847030424, 145.12375891131526"
47530,326,"-37.78728784744156, 145.12688391136274"
47576,3888,"-37.74922383522158, 144.94641694694042"
47612,771,"-37.86101585919632, 145.28570487594382"
47637,4843,"-37.88468183898337, 144.98645792474142"
47658,4867,"-37.937477839788116, 145.00251391637977"
47742,3980,"-37.66502483362932, 144.93312995825445"
47794,3053,"-37.73949683477118, 144.94847694685077"
47802,1164,"-37.78373785105965, 145.18161590202556"
47815,4300,"-37.7580108423844, 145.0536409265369"
47957,2842,"-37.824748840474776, 145.02581092494654"
48002,4266,"-37.82372084252184, 145.0448079211258"
48041,2335,"-37.91231784104417, 145.01421891671902"
48147,1007,"-37.73594183214007, 144.90494695552917"
48159,221,"-38.056031848360284, 145.11829788334921"
48165,3946,"-37.65123884454408, 145.08829293303552"
48175,991,"-37.9829188544184, 145.21218087509942"
48268,4616,"-37.94623784356677, 145.0515019070752"
48300,4975,"-37.67300282848047, 144.8520999705635"
48305,4388,"-37.806279836306565, 144.95950993803396"
48310,4396,"-37.800729837142015, 144.96692993710488"
48312,4398,"-37.80438183618998, 144.9617879375847"
48344,3301,"-37.78941183779552, 144.98900893453944"
48390,2522,"-37.825537831226214, 144.8788429497371"
48425,939,"-37.91083985848655, 145.27484887134284"
48428,4862,"-37.95178284053055, 145.00450891386177"
48469,3623,"-37.79479984078834, 145.03133492668974"
48503,5244,"-37.87888281850402, 144.6952339762548"
48522,2932,"-37.81527683750111, 144.97487293444684"
48527,3208,"-37.920100848032725, 145.12070389753796"
48539,3139,"-37.96974184667468, 145.091168897027"
48541,2020,"-37.863811854317476, 145.21978988632802"
48549,3088,"-37.89605882246173, 144.75431196370872"
48568,2402,"-37.829539836245715, 144.96393993532732"
48570,2406,"-37.83621983752207, 144.97305293272743"
48583,4178,"-37.70204584364881, 145.07945992879445"
48584,4181,"-37.707871842056164, 145.05216493231433"
48588,3007,"-37.795287841544635, 145.03628792602402"
48594,3016,"-37.86275783718048, 144.97233993008646"
48601,5277,"-37.85172982051429, 144.7197159752335"
48697,5872,"-37.610332762719516, 143.87011314721852"
48704,994,"-37.974897850234676, 145.14768988693817"
48712,983,"-38.03355585642677, 145.2272608669038"
48716,2686,"-38.11714885463573, 145.19404986275094"
48747,1380,"-37.86706482194466, 144.74605196841065"
48748,1381,"-37.866546821523926, 144.7417239693989"
48752,876,"-37.841788858076846, 145.2672458809989"
48760,40090,"-37.686353841907334, 145.0521859348919"
48761,40091,"-37.68723984150981, 145.04780693600648"
48808,40118,"-37.68593283184219, 144.9007459609067"
48817,3570,"-37.91395984808298, 145.1218818983701"
48863,6671,"-38.243075943769426, 146.42388963319692"
48898,1156,"-38.10082886053069, 145.28269984984016"
48949,3491,"-38.03373685289185, 145.18524887350557"
48950,1414,"-38.0921418743229, 145.4863278150802"
48992,40018,"-37.76718682565383, 144.8027059694441"
49001,40034,"-37.726717828883785, 144.86003596450328"
49113,1262,"-37.84070082278443, 144.7620869684554"
49166,1597,"-36.12473496493432, 146.89002580427987"
49169,6807,"-38.34143063317797, 141.60690247842138"
49199,1744,"-37.81136483607922, 144.95344593914962"
49212,40206,"-37.89143184807797, 145.12081890116522"
49220,40214,"-37.89343084917233, 145.13752889747795"
49222,40216,"-37.89400884909094, 145.13986589667394"
49246,40243,"-37.92526385184918, 145.17957988665435"
49250,40247,"-37.93419385330501, 145.19073888425447"
49261,40260,"-37.943522854047856, 145.2018458809048"
49272,40272,"-37.95790085557334, 145.22285887588836"
49274,40276,"-37.961311855996186, 145.2271918746633"
49295,40293,"-37.98610185697661, 145.24933386741725"
49299,40297,"-37.991740857393275, 145.25359586628323"
49334,2479,"-37.812637836529355, 144.9687239358816"
49341,1079,"-38.119802850980804, 145.14694687059756"
49351,1091,"-38.146585850514185, 145.13861286926362"
49354,3766,"-37.88088482176504, 144.7342709692495"
49360,40128,"-37.717019829678804, 144.87403996308484"
49384,1586,"-37.81623183824705, 144.98400593219338"
49395,804,"-37.80586886311631, 145.35304887007362"
49408,3125,"-37.82593284572053, 145.09723391238347"
49412,5305,"-38.15821579673357, 144.3330550104571"
49480,3072,"-37.756624843697765, 145.06961992461217"
49525,2681,"-37.77699782188144, 144.75543597635024"
49526,5286,"-37.87299982188099, 144.7366889695757"
49532,1168,"-37.68461784755139, 145.13685792104454"
49533,1147,"-37.933386860728575, 145.30379686418294"
49679,40175,"-37.87829284522518, 145.08256890865152"
49726,2487,"-37.85997583943715, 145.00742192392505"
49732,1190,"-37.810412840891146, 145.02848192572824"
49738,5165,"-38.17117782174141, 144.7174999410332"
49741,1518,"-37.853298821631874, 144.73888497110906"
49800,1716,"-37.893979819868264, 144.70376597274006"
49802,3535,"-37.91775785039869, 145.1518338926379"
49815,5161,"-38.14429290360179, 145.89333473731105"
49834,1743,"-37.599986830554975, 144.90000597046998"
49852,1485,"-38.027335858006026, 145.2608588609867"
49855,5661,"-37.881150061813166, 147.98657740817166"
49860,40473,"-37.728589828598984, 144.85808396399804"
49861,40474,"-37.72731482918623, 144.858680964543"
49878,1128,"-37.997435858674436, 145.27176686253623"
49883,2355,"-37.988125845122106, 145.0702348984312"
49888,1696,"-37.8268558266133, 144.81830696092007"
45052,3259,"-37.740615840580794, 145.02771693298828"
45061,3443,"-37.91764484179827, 145.0320719136088"
45066,513,"-38.044117865558526, 145.3667538411249"
45079,2458,"-37.79986083875552, 144.99328193321412"
45082,2461,"-37.80024483884115, 144.99722693183048"
45092,963,"-37.994127851889694, 145.17262888008815"
45102,3079,"-37.766970841898456, 145.04464692782415"
45119,401,"-37.996688862070314, 145.31283385604078"
45120,6408,"-36.726073657256315, 142.2049855162769"
45127,445,"-38.02226686120626, 145.30111585468256"
45136,6334,"-36.39241885513142, 145.35593102397794"
45150,402,"-37.878526850932126, 145.16505789501758"
45170,5271,"-37.852319820547486, 144.72687997320253"
45177,5109,"-38.12056479542558, 144.32832001537207"
45207,507,"-38.07094384885598, 145.12135388080003"
45218,6075,"-36.383132857233576, 145.39885601736816"
45224,1103,"-37.861195853880005, 145.2111358881472"
45235,2638,"-37.697437823242, 144.78124498091896"
45242,4529,"-37.8183928377951, 144.97639093430698"
45265,966,"-37.97743385690627, 145.2413908701083"
45275,4517,"-37.80922583620521, 144.95237093929074"
45280,4522,"-37.810942835496405, 144.94782893987124"
45283,4525,"-37.82122083630606, 144.95461393750986"
45294,4467,"-37.78833983532981, 144.94976394162427"
45296,4469,"-37.787405833474565, 144.92212794665932"
45310,5085,"-38.121752796409304, 144.34127701285723"
45334,5066,"-38.18933279632653, 144.32774800796943"
45338,1260,"-38.144656855173, 145.2050848584655"
45363,2445,"-37.839036837196005, 144.97418693199882"
45365,2447,"-37.843327837649184, 144.97574693096004"
45417,3967,"-37.81408283486931, 144.93964194085277"
45445,5093,"-37.9003528173212, 144.6659099794426"
45537,3969,"-37.68899083539852, 144.9523489522511"
45549,6277,"-36.75872078399756, 144.2803521636282"
45562,6096,"-36.37146785867684, 145.41522501560578"
45563,6097,"-36.380884857356754, 145.39789701755555"
45579,5958,"-37.579598761361396, 143.84206715557664"
45596,4589,"-37.81521383643927, 144.96361693614924"
45605,6256,"-36.78534178185463, 144.24667916684652"
45618,2630,"-37.79902882418893, 144.78932996867186"
45641,2834,"-37.597746833275956, 144.93028696554788"
45643,2569,"-37.89691584179801, 145.03612191527998"
45656,2455,"-37.79946183822335, 144.98928193417"
45666,6085,"-36.37404185749381, 145.40077701844365"
45670,6400,"-36.716624657045806, 142.20492451655514"
45683,2179,"-37.59190083382122, 144.94249396462612"
45685,1341,"-37.84613885584477, 145.23618088515877"
45687,4653,"-37.77899584061399, 145.0251139296362"
45731,5023,"-38.1605127978184, 144.35030600728282"
45738,5034,"-38.33660574813315, 143.5670941278477"
45751,2058,"-37.74346382411949, 144.7932189742307"
45753,5036,"-38.14557179765146, 144.35742300741057"
45763,6818,"-38.38083468279744, 142.48571631669174"
45778,4606,"-37.81325583629072, 144.96271393719806"
45795,4568,"-37.81500883715246, 144.9719299346327"
45845,3073,"-37.73610984211243, 145.04883593001074"
45928,815,"-37.802809860872834, 145.3153118766985"
45930,5257,"-37.89382381792579, 144.68048697676508"
45961,4754,"-37.847368839056635, 144.99792692711617"
45962,4755,"-37.848089839871506, 145.00319192544657"
45985,4930,"-37.74194082364849, 144.77945197599402"
45987,4932,"-37.74421982464394, 144.79994797252567"
45989,3337,"-37.73155884475538, 145.08542492463292"
45993,4988,"-37.69347783842229, 144.99782694351376"
45994,4990,"-37.67873883858732, 144.99930794477658"
46001,4998,"-37.69508784154951, 145.0432849358645"
46032,2887,"-37.83693583349269, 144.9148269427499"
46047,313,"-38.06192187186776, 145.45527682294292"
46067,4193,"-37.74368883225976, 144.90816195400137"
46076,4204,"-37.771724832974726, 144.91618394935244"
46090,4135,"-37.721474834732334, 144.94749594882032"
46128,6236,"-36.718638782216495, 144.25370417229246"
46144,5809,"-37.56148076308845, 143.8734301517316"
46156,5822,"-37.42376576331839, 143.89468316249992"
46160,1590,"-37.857525852568294, 145.19011589284165"
46243,2868,"-37.690802830526344, 144.88195096444875"
46312,4363,"-37.85937584247433, 145.05133091618396"
46313,4364,"-37.8600368437707, 145.05841591528286"
46322,4315,"-37.758433828836516, 144.86040596004298"
46339,4233,"-37.804140832278826, 144.89879194839637"
46343,4238,"-37.799770832306336, 144.89958194916687"
46355,2883,"-37.82600382717992, 144.8293189587046"
46377,2828,"-37.788398846004036, 145.10426491471068"
46381,4926,"-37.786710827417146, 144.832759961693"
46391,1052,"-37.816081838202656, 144.98261993314253"
46400,4325,"-37.80898984278681, 145.0492269226286"
46404,2308,"-37.872021838298345, 144.98967892622824"
46407,2311,"-37.858620837348504, 144.96954293117216"
46409,2316,"-37.89982383959942, 145.0064649191942"
46410,2318,"-37.95645884321913, 145.04397590755065"
46439,4501,"-37.80469683542911, 144.94514994024527"
46441,4447,"-37.81039883818256, 144.98355993363285"
46455,5902,"-37.54026976045462, 143.8312851609737"
46463,3235,"-37.726459838491415, 145.0060509382671"
46513,747,"-38.155021852377956, 145.1655148640886"
46583,584,"-37.812451850338604, 145.1706019005392"
46594,606,"-37.99507285661822, 145.23803586915625"
46596,608,"-38.066367873351055, 145.46717982139987"
46611,383,"-37.87690185457772, 145.21452388661874"
46627,435,"-37.949400850577035, 145.152841889322"
46628,462,"-37.88413785164025, 145.17736389173334"
46630,464,"-37.87007684804199, 145.1300679010217"
46632,466,"-37.871464848950154, 145.14221889972282"
46654,4064,"-37.813428845068884, 145.08631891532684"
46657,906,"-37.82818885520848, 145.22718288873114"
46721,865,"-37.83664185212623, 145.18828589522246"
46735,791,"-37.8412548571949, 145.26504288116112"
46737,793,"-37.84180685515373, 145.22735588812367"
46739,795,"-37.91755685569942, 145.23507387785506"
46749,919,"-37.90652786318601, 145.3396368607373"
46760,933,"-37.96794885165606, 145.1678258843871"
46765,940,"-37.96314785123146, 145.158344886387"
46791,2722,"-37.72965382629539, 144.81525397137545"
46793,2724,"-37.742973829092314, 144.86331896127973"
46795,2727,"-37.738738831416384, 144.8960579562727"
46888,3867,"-37.821979839121255, 144.99393693081774"
46890,3870,"-37.74299083863209, 144.9980099387146"
46903,3827,"-37.79318884506369, 145.0894619174978"
46906,3830,"-37.759685833680756, 144.92619194847225"
46908,3832,"-37.77510683335035, 144.9234939477835"
46919,4578,"-37.81547983648652, 144.96654593548084"
46923,4600,"-37.81566783590478, 144.9582129370955"
46927,251,"-38.11302186019142, 145.2827908473874"
46947,4071,"-37.86872984035021, 145.0183329209064"
46961,2304,"-37.860483838161095, 144.98447692787167"
46972,2107,"-37.78688083851536, 144.99334193455982"
46979,2766,"-37.68381783871089, 145.00088994373857"
46994,841,"-37.83113384903294, 145.14241690381454"
46996,843,"-37.83366485018433, 145.1631728996112"
47003,851,"-37.83237485348326, 145.21335789081468"
47012,861,"-37.832346855495146, 145.2397838860677"
47032,274,"-38.13867284951695, 145.12327987254636"
47034,276,"-38.15415485272944, 145.16233686434836"
47059,3811,"-37.83478284346189, 145.06076991762825"
47078,945,"-37.96631585180312, 145.17493788254674"
47081,948,"-37.92464184951986, 145.143571892886"
47098,3312,"-37.771780842406145, 145.04673992633593"
47109,3512,"-37.76001483288472, 144.9209469495541"
47112,3516,"-37.73858383179858, 144.90661495499617"
47113,3557,"-37.90413984259601, 145.04165491363722"
47119,3565,"-37.911014846425836, 145.0982569030731"
47129,4038,"-37.828099843466866, 145.057324919151"
47131,4120,"-37.73625883535511, 144.9517559468634"
47141,2578,"-37.77570783123763, 144.88548595428688"
47153,357,"-37.84478185021594, 145.15462590038788"
47155,362,"-37.865832849871076, 145.14961089847276"
47169,620,"-38.072130854065136, 145.19473386822878"
47172,910,"-37.80452485445931, 145.23030289078852"
47180,3833,"-37.7743838335275, 144.9277629469113"
47181,3835,"-37.77759783436995, 144.92980594667497"
47182,3840,"-37.851084840711636, 145.026041922123"
47186,3844,"-37.870972842145164, 145.0387909170834"
47195,3111,"-37.77567883515052, 144.9487999428454"
47197,3203,"-37.9663078474915, 145.11063489415298"
47203,4602,"-37.81707883595204, 144.95324593830782"
47210,3390,"-37.81754183843347, 144.9900189317069"
47213,213,"-38.02028484727742, 145.09717789030003"
47230,171,"-37.864924855434104, 145.2373688830758"
47240,185,"-37.93313485013404, 145.1567458902153"
47247,192,"-37.9753988542232, 145.2037898772464"
47262,147,"-37.74990386434666, 145.3738498723964"
47267,4043,"-37.845690842531575, 145.05398391710838"
47269,3962,"-37.913400840693534, 145.01705291678354"
47273,3430,"-37.81436183210868, 144.89718294759518"
47282,4381,"-37.792575836735296, 144.97135993724453"
47284,4395,"-37.80057183624433, 144.9654599381394"
47293,6122,"-36.35803992392953, 146.32100786893292"
47301,6407,"-36.711700656827254, 142.20490551749472"
47311,4059,"-37.80381584580283, 145.0970729142145"
47320,4021,"-37.775517836802145, 144.9710579392055"
47321,4022,"-37.774723836111235, 144.96083594140637"
47334,427,"-37.89580985102959, 145.1629878934064"
47343,3906,"-37.83982582731019, 144.82558495814322"
47345,3908,"-37.834155827330456, 144.82633495793814"
47350,3921,"-37.80225684681623, 145.11770191105518"
47353,4026,"-37.771992836057926, 144.96546094127373"
47357,4031,"-37.795556842855696, 145.0635379212089"
47363,4041,"-37.83367484308595, 145.05626191820298"
47372,3992,"-37.677033830696104, 144.89442296368608"
47377,679,"-37.7568308472472, 145.12918191386856"
47382,684,"-37.766390845214815, 145.09036092000045"
47391,694,"-37.74684785293696, 145.20703190168928"
47396,700,"-37.75959984769115, 145.13391591248165"
47397,703,"-37.76373885072324, 145.16882190694415"
47402,668,"-37.99091785381666, 145.19874887634373"
47404,670,"-37.99506185303775, 145.18173587897496"
47405,671,"-37.97768585497712, 145.22215387398955"
47408,612,"-38.02894286282066, 145.32800384959387"
47440,3934,"-37.81178584699657, 145.1159579099715"
47456,3701,"-37.91949084522802, 145.08332690425053"
47458,3703,"-37.9445198452749, 145.07843290237543"
47463,3710,"-37.98410084533643, 145.07607589884887"
47477,737,"-38.163543850682, 145.13659586847166"
47480,677,"-37.76683084667676, 145.11935991494457"
47484,2209,"-37.81864784805147, 145.1285949071178"
47485,2302,"-37.856379837851804, 144.9831909280796"
47509,7000,"-36.94583381578068, 144.73111906893357"
47511,4049,"-37.849099844698664, 145.0843749116544"
47545,3421,"-37.88502283841739, 144.98702392434274"
47566,955,"-37.98326785503824, 145.2148408737432"
47570,959,"-37.97031285498634, 145.21730687510768"
47586,483,"-37.88469084865489, 145.1273609001707"
47592,281,"-38.0279838492618, 145.1311938837003"
47599,2691,"-37.87103684063973, 145.01174892249438"
47613,772,"-37.880519859451624, 145.28458787377903"
47619,706,"-37.76797484647489, 145.11852791477256"
47635,4497,"-37.80287283585807, 144.94815394023004"
47647,4853,"-37.86950283906462, 144.9994469241254"
47650,4856,"-37.861995841356126, 145.0255139207722"
47680,4827,"-37.816244839238976, 145.00278792984267"
47691,4717,"-37.906675849541756, 145.14195589554254"
47694,714,"-37.71527984875037, 145.14800591565546"
47701,721,"-37.709466846557596, 145.1201309213328"
47703,725,"-37.752543848178895, 145.1350249134779"
47706,730,"-38.1413318496156, 145.12656587199172"
47736,3958,"-37.92658084040279, 145.0045549172748"
47739,3961,"-37.90514184054376, 145.01846491724083"
47757,3687,"-37.86430384581035, 145.09312290844076"
47759,3689,"-37.87452484588848, 145.09176790797764"
47783,626,"-37.810501857754886, 145.26956688410647"
47792,3051,"-37.73856883451729, 144.94058194857132"
47793,3052,"-37.73918183482628, 144.94571694724385"
47795,3054,"-37.74130083610116, 144.96660294404336"
47799,2981,"-37.84370183950662, 145.00408692656626"
47801,4155,"-37.78379683899102, 144.99615393458402"
47805,4902,"-37.82519083521114, 144.9475539379647"
47808,4905,"-37.83521083612327, 144.96160093404637"
47811,4908,"-37.846454835451034, 144.94930593570288"
47818,4303,"-37.767023841436774, 145.03504792952697"
47821,4243,"-37.8019398324076, 144.89779094978294"
47824,4246,"-37.79915283194045, 144.8944649504099"
47840,4770,"-37.84303383890259, 144.99490992835126"
47841,4771,"-37.84367983904376, 144.9947789281599"
47849,4781,"-37.730306838862546, 145.00055493887203"
47855,3333,"-37.735209843842995, 145.0784109253803"
47859,3344,"-37.70342884508225, 145.09228192681397"
47865,3350,"-37.73000584404073, 145.0794269256368"
47873,3362,"-37.759430843079215, 145.0665719251404"
47876,3380,"-37.79598383811497, 144.99397593353436"
47877,4697,"-37.92911884860938, 145.12365289647218"
47894,4416,"-37.802110836521436, 144.96972493679914"
47898,4422,"-37.78213083695074, 144.97309993807607"
47901,4427,"-37.79541583752141, 144.9753179361188"
47907,117,"-37.81844585151288, 145.1760048995477"
47920,3551,"-37.90051084063241, 145.01222091872663"
47927,3923,"-37.83004484689867, 145.11259390936777"
47943,4082,"-37.88626884251404, 145.03816491516372"
47947,4087,"-37.88423083922405, 145.00057092255892"
47954,2772,"-37.66669184261658, 145.05922193580437"
47958,2843,"-37.84486984165151, 145.0408609201247"
47959,2846,"-37.860015843145106, 145.0589919150032"
47972,4710,"-37.882500846747256, 145.10900190348468"
47985,4154,"-37.809923838940556, 144.99455393147633"
47993,4257,"-37.81577483084884, 144.88290695031418"
48022,2757,"-37.88825284294062, 145.0540979125075"
48027,2427,"-37.896241846045186, 145.0980339044565"
48030,2431,"-37.9218628492777, 145.13909289370528"
48034,3240,"-38.09458685879364, 145.2553058545307"
48037,2485,"-37.838012841329075, 145.0325719215483"
48050,4728,"-37.83483083474947, 144.93403193943178"
48062,4746,"-37.841052839607826, 145.00871892529082"
48063,4681,"-37.776553838910516, 144.9975529349308"
48074,4695,"-37.927031847187116, 145.10710989961484"
48083,4352,"-37.85394584288785, 145.04820191713335"
48092,4219,"-37.78833083763586, 144.98016693682678"
48094,4221,"-37.80272483771074, 144.97771193545833"
48098,4227,"-37.78533083787709, 144.99169293445655"
48112,2936,"-37.82250883670028, 144.96976893419452"
48123,2158,"-37.678613835269466, 144.95665495203923"
48125,2160,"-37.69473383531958, 144.95910795054684"
48129,1071,"-37.879920844724865, 145.07174691034876"
48139,2005,"-37.84984184701308, 145.11294790620602"
48150,6149,"-36.12111596495625, 146.88808980462366"
48155,6156,"-36.12367096445605, 146.88875980460818"
48167,2190,"-37.67822382823928, 144.85924796952213"
48219,4641,"-37.98134984479306, 145.0655929002065"
48223,4645,"-37.98272784526222, 145.07766389837056"
48229,4659,"-37.775600838097944, 144.98977593608515"
48237,4667,"-37.766217841024265, 145.02742493079128"
48243,6330,"-37.2937578328947, 144.95149299512815"
48244,6335,"-36.38155285453496, 145.35248802487786"
48245,6336,"-36.39475285529243, 145.35943702282916"
48256,4677,"-37.75638283905405, 145.00097193620647"
48265,4613,"-37.921149844188264, 145.05912990857112"
48267,4615,"-37.92290184447228, 145.07310090507016"
48269,4617,"-37.94723484386087, 145.05910390504116"
48274,4622,"-37.91502984408156, 145.06028490858802"
48288,5049,"-38.14589479875188, 144.36421300550683"
48295,4969,"-37.85891983275631, 144.89799494289824"
48299,4974,"-37.6896018275769, 144.84911797014578"
48304,4387,"-37.804025835984405, 144.9584749380702"
48323,4347,"-37.8741608441766, 145.06452291255496"
48333,3265,"-37.75441984006096, 145.02062393363653"
48334,3266,"-37.762081840440835, 145.0209669327264"
48341,3291,"-37.88967884228582, 145.0448039139053"
48342,3292,"-37.879168842947635, 145.04444991546887"
48348,3305,"-37.78406483942761, 145.00963593148225"
48349,3306,"-37.78334983976482, 145.01739693074686"
48356,3204,"-37.97226684809098, 145.11169189335877"
48370,1621,"-37.82450383029757, 144.87351395100578"
48380,883,"-37.85643386066048, 145.31485587135163"
48400,500,"-38.01611484966557, 145.1398168840991"
48408,1132,"-38.043989864185605, 145.33843384550275"
48433,4913,"-37.83803183670641, 144.9657209334386"
48442,100,"-37.85640685176028, 145.1810598945173"
48453,3202,"-37.947028849896206, 145.14937888995942"
48454,3439,"-37.92619784251034, 145.04027791080367"
48464,496,"-37.86930984778867, 145.12392690301616"
48473,197,"-37.992776854824555, 145.21608787292254"
48481,1263,"-38.26483688119824, 145.56495478151285"
48493,3423,"-37.88633983894522, 144.98920392440493"
48500,387,"-38.13869684948434, 145.12345687301013"
48517,6333,"-37.41635883499753, 144.97911797727875"
48521,6616,"-38.20342291641194, 146.06203970151353"
48523,2942,"-37.769268841410344, 145.04177692833994"
48529,3210,"-37.84509883188084, 144.89230094525342"
48535,973,"-38.202681857123245, 145.2330338472095"
48551,5297,"-37.87778582341837, 144.75773996566718"
48554,2022,"-37.91457185629526, 145.23564087817746"
48558,5873,"-37.592594762506415, 143.86724715014037"
48565,2348,"-37.96851584410637, 145.05510990403047"
48575,2413,"-37.86287484079743, 145.01943792121415"
48577,4172,"-37.702512844131455, 145.08416692768273"
48581,4176,"-37.67784984667358, 145.12542092318515"
48592,3012,"-37.849107836367054, 144.9513739350838"
48598,2520,"-37.79415782928589, 144.86298095612838"
48603,2975,"-37.770091838766774, 145.00539193372973"
48604,6621,"-38.16166790700439, 145.9339197282449"
48606,4110,"-37.72151883556516, 144.95115494897104"
48609,881,"-37.928409857931136, 145.26208187212384"
48617,3648,"-37.709986844199136, 145.0820199274216"
48620,2592,"-37.69916382324455, 144.78067398065463"
48625,2610,"-37.77831282762068, 144.84047096199316"
48646,2679,"-37.781389821957426, 144.75480597673086"
48673,2593,"-37.73372582128321, 144.74105198388472"
48676,1430,"-37.779986833292675, 144.9200059475509"
48682,40150,"-37.77908682476926, 144.79330596955913"
48692,1085,"-37.7234688311587, 144.89153395870926"
48806,40116,"-37.694476832529666, 144.91268795795725"
48833,3897,"-37.64823184273336, 145.06903293621292"
48899,1235,"-37.965004852371095, 145.17332588357488"
48902,1679,"-37.826114834148655, 144.93214494101252"
48973,549,"-37.76578985946898, 145.30320488258175"
48989,3775,"-37.812409830849994, 144.87994695111382"
49022,40058,"-37.69380883161815, 144.90652195917812"
49048,1200,"-37.58919181817124, 144.71501700357697"
49083,2710,"-37.650485843926944, 145.08107693360085"
49139,3183,"-38.03292986392087, 145.3434778468251"
49146,5353,"-38.233946797435586, 144.33515300114504"
49182,1397,"-37.845156842198165, 145.04275491988642"
49196,3495,"-37.70443783265289, 144.91772895619803"
49225,40219,"-37.89558284930781, 145.14631989630251"
49264,40263,"-37.94803485438584, 145.20837887968474"
49296,40294,"-37.98599485726661, 145.24948886833795"
